stockcode,entry_dt,remove_dt
000511.SZ,1998-04-28,1999-04-28
000548.SZ,1998-04-29,1999-05-31
000558.SZ,1998-04-29,1999-05-26
600647.SH,1998-04-29,2005-06-08
600831.SH,1998-04-29,2002-03-29
000506.SZ,1998-04-30,2001-02-13
000515.SZ,1998-04-30,1999-07-09
000015.SZ,1998-05-04,2000-05-12
000413.SZ,1998-05-04,2000-04-27
000518.SZ,1998-05-04,1999-07-09
600083.SH,1998-05-04,2000-05-12
600633.SH,1998-05-04,2002-04-18
600813.SH,1998-05-04,
600837.SH,1998-05-04,2002-04-29
600670.SH,1998-05-05,
000669.SZ,1998-05-18,2000-03-28
600852.SH,1998-06-05,2000-04-17
600892.SH,1998-06-08,2001-04-16
000569.SZ,1998-06-09,1999-06-09
000049.SZ,1998-06-10,1999-06-10
600855.SH,1998-06-10,2002-04-18
000014.SZ,1998-06-15,2002-02-08
000030.SZ,1998-06-15,2013-04-24
000503.SZ,1998-06-15,2000-03-21
000526.SZ,1999-04-19,2000-03-21
000507.SZ,1999-04-22,2000-04-26
000607.SZ,1999-04-22,2000-03-23
600847.SH,1999-04-23,2000-04-28
000004.SZ,1999-04-27,2001-03-06
000020.SZ,1999-04-27,2000-03-29
000522.SZ,1999-04-27,2002-04-23
600610.SH,1999-04-27,2003-04-01
600898.SH,1999-04-27,2003-07-18
000536.SZ,1999-04-29,2001-05-11
000555.SZ,1999-04-29,2001-03-27
000566.SZ,1999-04-29,2000-05-09
600691.SH,1999-04-29,2000-05-10
600715.SH,1999-04-29,2000-05-08
600818.SH,1999-04-29,2001-05-18
600876.SH,1999-04-29,2000-04-28
000009.SZ,1999-04-30,2000-04-14
000034.SZ,1999-04-30,2001-01-18
000639.SZ,1999-04-30,2000-03-22
000017.SZ,1999-05-04,2014-05-14
000502.SZ,1999-05-04,2001-03-23
000556.SZ,1999-05-04,2001-05-11
000588.SZ,1999-05-04,2001-04-27
000613.SZ,1999-05-04,2001-04-23
600625.SH,1999-05-04,2000-05-12
600758.SH,1999-05-04,2000-04-26
600759.SH,1999-05-04,2001-05-14
600874.SH,1999-05-17,2001-03-26
600833.SH,1999-05-18,2002-04-29
600775.SH,1999-05-26,2000-04-28
000653.SZ,2000-02-21,
000411.SZ,2000-04-07,2001-04-27
600721.SH,2000-04-07,2001-05-11
000518.SZ,2000-04-10,2001-01-11
000038.SZ,2000-04-11,2001-04-06
600683.SH,2000-04-13,2001-04-17
600806.SH,2000-04-13,2001-03-14
600658.SH,2000-04-18,2001-04-09
000025.SZ,2000-04-19,2006-03-08
000504.SZ,2000-04-19,2001-03-09
000546.SZ,2000-04-21,2001-05-11
001696.SZ,2000-04-26,2004-02-24
600137.SH,2000-04-26,2001-03-06
600762.SH,2000-04-26,2001-03-19
000010.SZ,2000-04-27,2001-04-10
000689.SZ,2000-04-28,
600629.SH,2000-04-28,2008-05-23
600845.SH,2000-04-28,2001-05-18
000003.SZ,2000-05-09,2001-05-11
000011.SZ,2000-05-09,2005-03-08
000585.SZ,2000-05-09,2006-04-24
000592.SZ,2000-05-09,2009-05-12
600696.SH,2000-05-09,2001-03-01
000658.SZ,2000-05-10,
000602.SZ,2000-05-11,2002-03-27
000550.SZ,2000-06-05,2001-04-12
600097.SH,2000-07-17,2002-03-20
600703.SH,2001-02-06,2002-03-28
000838.SZ,2001-02-19,2004-04-29
000675.SZ,2001-02-21,
600743.SH,2001-02-21,2009-03-26
000535.SZ,2001-03-07,
000662.SZ,2001-03-28,2002-04-01
600109.SH,2001-03-30,2003-04-07
000047.SZ,2001-04-09,
600853.SH,2001-04-10,2003-05-26
600150.SH,2001-04-11,2002-04-12
000788.SZ,2001-04-18,2005-03-04
000007.SZ,2001-04-19,2002-04-12
600768.SH,2001-04-19,2003-03-27
600753.SH,2001-04-24,2007-10-09
600167.SH,2001-04-26,2003-02-12
000430.SZ,2001-04-27,2002-03-07
600745.SH,2001-04-27,2003-04-30
000416.SZ,2001-04-30,2002-02-07
000033.SZ,2001-05-08,2002-04-17
000048.SZ,2001-05-08,2005-05-13
600734.SH,2001-05-08,2002-03-11
600848.SH,2001-05-08,2007-05-14
600763.SH,2001-06-26,2007-06-04
600893.SH,2001-10-10,2004-03-03
600709.SH,2002-03-19,
