indexcode,tradedate,price
000905.SH,2005-01-04,986.927
000905.SH,2005-01-05,1003.633
000905.SH,2005-01-06,994.595
000905.SH,2005-01-07,997.606
000905.SH,2005-01-10,1006.337
000905.SH,2005-01-11,1008.343
000905.SH,2005-01-12,1008.62
000905.SH,2005-01-13,1013.07
000905.SH,2005-01-14,1000.169
000905.SH,2005-01-17,977.522
000905.SH,2005-01-18,991.419
000905.SH,2005-01-19,986.241
000905.SH,2005-01-20,972.463
000905.SH,2005-01-21,988.519
000905.SH,2005-01-24,1008.175
000905.SH,2005-01-25,999.553
000905.SH,2005-01-26,987.955
000905.SH,2005-01-27,971.373
000905.SH,2005-01-28,952.413
000905.SH,2005-01-31,922.653
000905.SH,2005-02-01,913.331
000905.SH,2005-02-02,964.243
000905.SH,2005-02-03,945.312
000905.SH,2005-02-04,962.028
000905.SH,2005-02-16,972.337
000905.SH,2005-02-17,977.272
000905.SH,2005-02-18,964.769
000905.SH,2005-02-21,981.819
000905.SH,2005-02-22,1007.688
000905.SH,2005-02-23,1019.258
000905.SH,2005-02-24,1024.446
000905.SH,2005-02-25,1024.118
000905.SH,2005-02-28,1020.847
000905.SH,2005-03-01,1021.162
000905.SH,2005-03-02,1006.148
000905.SH,2005-03-03,1011.288
000905.SH,2005-03-04,1003.21
000905.SH,2005-03-07,1006.953
000905.SH,2005-03-08,1029.457
000905.SH,2005-03-09,1032.55
000905.SH,2005-03-10,1005.545
000905.SH,2005-03-11,1009.434
000905.SH,2005-03-14,1007.766
000905.SH,2005-03-15,993.831
000905.SH,2005-03-16,983.916
000905.SH,2005-03-17,970.966
000905.SH,2005-03-18,949.509
000905.SH,2005-03-21,949.553
000905.SH,2005-03-22,922.564
000905.SH,2005-03-23,923.194
000905.SH,2005-03-24,933.347
000905.SH,2005-03-25,931.417
000905.SH,2005-03-28,922.923
000905.SH,2005-03-29,916.811
000905.SH,2005-03-30,888.949
000905.SH,2005-03-31,896.068
000905.SH,2005-04-01,927.546
000905.SH,2005-04-04,909.87
000905.SH,2005-04-05,901.744
000905.SH,2005-04-06,918.557
000905.SH,2005-04-07,932.333
000905.SH,2005-04-08,949.457
000905.SH,2005-04-11,948.509
000905.SH,2005-04-12,927.41
