stockcode,tradedate
000006.SZ,2007-01-31
000016.SZ,2007-01-31
000028.SZ,2007-01-31
000032.SZ,2007-01-31
000033.SZ,2007-01-31
000037.SZ,2007-01-31
000040.SZ,2007-01-31
000042.SZ,2007-01-31
000043.SZ,2007-01-31
000046.SZ,2007-01-31
000049.SZ,2007-01-31
000050.SZ,2007-01-31
000062.SZ,2007-01-31
000065.SZ,2007-01-31
000070.SZ,2007-01-31
000078.SZ,2007-01-31
000090.SZ,2007-01-31
000096.SZ,2007-01-31
000151.SZ,2007-01-31
000155.SZ,2007-01-31
000158.SZ,2007-01-31
000301.SZ,2007-01-31
000407.SZ,2007-01-31
000416.SZ,2007-01-31
000417.SZ,2007-01-31
000419.SZ,2007-01-31
000420.SZ,2007-01-31
000421.SZ,2007-01-31
000426.SZ,2007-01-31
000428.SZ,2007-01-31
000501.SZ,2007-01-31
000504.SZ,2007-01-31
000510.SZ,2007-01-31
000511.SZ,2007-01-31
000513.SZ,2007-01-31
000515.SZ,2007-01-31
000518.SZ,2007-01-31
000522.SZ,2007-01-31
000524.SZ,2007-01-31
000525.SZ,2007-01-31
000530.SZ,2007-01-31
000531.SZ,2007-01-31
000532.SZ,2007-01-31
000533.SZ,2007-01-31
000537.SZ,2007-01-31
000543.SZ,2007-01-31
000548.SZ,2007-01-31
000551.SZ,2007-01-31
000554.SZ,2007-01-31
000563.SZ,2007-01-31
000570.SZ,2007-01-31
000571.SZ,2007-01-31
000572.SZ,2007-01-31
000573.SZ,2007-01-31
000576.SZ,2007-01-31
000584.SZ,2007-01-31
000585.SZ,2007-01-31
000589.SZ,2007-01-31
000594.SZ,2007-01-31
000597.SZ,2007-01-31
000598.SZ,2007-01-31
000599.SZ,2007-01-31
000602.SZ,2007-01-31
000607.SZ,2007-01-31
000608.SZ,2007-01-31
000616.SZ,2007-01-31
000619.SZ,2007-01-31
000626.SZ,2007-01-31
000627.SZ,2007-01-31
000628.SZ,2007-01-31
000657.SZ,2007-01-31
000659.SZ,2007-01-31
000662.SZ,2007-01-31
000666.SZ,2007-01-31
000667.SZ,2007-01-31
