stockcode,stockname,ipo_date
000001.SZ,平安银行,1991/4/3
000002.SZ,万科A,1991/1/29
000004.SZ,国农科技,1991/1/14
000005.SZ,世纪星源,1990/12/10
000006.SZ,深振业A,1992/4/27
000007.SZ,全新好,1992/4/13
000008.SZ,神州高铁,1992/5/7
000009.SZ,中国宝安,1991/6/25
000010.SZ,*ST美丽,1995/10/27
000011.SZ,深物业A,1992/3/30
000012.SZ,南玻A,1992/2/28
000014.SZ,沙河股份,1992/6/2
000016.SZ,深康佳A,1992/3/27
000017.SZ,深中华A,1992/3/31
000019.SZ,深粮控股,1992/10/12
000020.SZ,深华发A,1992/4/28
000021.SZ,深科技,1994/2/2
000023.SZ,深天地A,1993/4/29
000025.SZ,特力A,1993/6/21
000026.SZ,飞亚达,1993/6/3
000027.SZ,深圳能源,1993/9/3
000028.SZ,国药一致,1993/8/9
000029.SZ,深深房A,1993/9/15
000030.SZ,富奥股份,1993/9/29
000031.SZ,大悦城,1993/10/8
000032.SZ,深桑达A,1993/10/28
000034.SZ,神州数码,1994/5/9
000035.SZ,中国天楹,1994/4/8
000036.SZ,华联控股,1994/6/17
000037.SZ,深南电A,1994/7/1
000038.SZ,深大通,1994/8/8
000039.SZ,中集集团,1994/4/8
000040.SZ,东旭蓝天,1994/8/8
000042.SZ,中洲控股,1994/9/21
000045.SZ,深纺织A,1994/8/15
000046.SZ,泛海控股,1994/9/12
000048.SZ,康达尔,1994/11/1
000049.SZ,德赛电池,1995/3/20
000050.SZ,深天马A,1995/3/15
000055.SZ,方大集团,1996/4/15
000056.SZ,皇庭国际,1996/7/8
000058.SZ,深赛格,1996/12/26
000059.SZ,华锦股份,1997/1/30
000060.SZ,中金岭南,1997/1/23
000061.SZ,农产品,1997/1/10
000062.SZ,深圳华强,1997/1/30
000063.SZ,中兴通讯,1997/11/18
000065.SZ,北方国际,1998/6/5
000066.SZ,中国长城,1997/6/26
000068.SZ,华控赛格,1997/6/11
000069.SZ,华侨城A,1997/9/10
000070.SZ,特发信息,2000/5/11
000078.SZ,海王生物,1998/12/18
000088.SZ,盐田港,1997/7/28
000089.SZ,深圳机场,1998/4/20
000090.SZ,天健集团,1999/7/21
000096.SZ,广聚能源,2000/7/24
000099.SZ,中信海直,2000/7/31
000100.SZ,TCL科技,2004/1/30
000150.SZ,宜华健康,2000/8/7
000151.SZ,中成股份,2000/9/6
000153.SZ,丰原药业,2000/9/20
000155.SZ,川能动力,2000/9/26
000156.SZ,华数传媒,2000/9/6
000157.SZ,中联重科,2000/10/12
000158.SZ,常山北明,2000/7/24
000159.SZ,国际实业,2000/9/26
000166.SZ,申万宏源,2015/1/26
000301.SZ,东方盛虹,2000/5/29
000333.SZ,美的集团,2013/9/18
000338.SZ,潍柴动力,2007/4/30
000400.SZ,许继电气,1997/4/18
000401.SZ,冀东水泥,1996/6/14
000402.SZ,金融街,1996/6/26
000403.SZ,双林生物,1996/6/28
000404.SZ,长虹华意,1996/6/19
000407.SZ,胜利股份,1996/7/3
000408.SZ,藏格控股,1996/6/28
000409.SZ,ST地矿,1996/6/27
000410.SZ,*ST沈机,1996/7/18
000411.SZ,英特集团,1996/7/16
000413.SZ,东旭光电,1996/9/25
000415.SZ,渤海租赁,1996/7/16
000416.SZ,民生控股,1996/7/19
000417.SZ,合肥百货,1996/8/12
000419.SZ,通程控股,1996/8/16
000420.SZ,吉林化纤,1996/8/2
000421.SZ,南京公用,1996/8/6
000422.SZ,ST宜化,1996/8/15
000423.SZ,东阿阿胶,1996/7/29
000425.SZ,徐工机械,1996/8/28
000426.SZ,兴业矿业,1996/8/28
000428.SZ,华天酒店,1996/8/8
000429.SZ,粤高速A,1998/2/20
000430.SZ,张家界,1996/8/29
000488.SZ,晨鸣纸业,2000/11/20
000498.SZ,山东路桥,1997/6/9
000501.SZ,鄂武商A,1992/11/20
000502.SZ,绿景控股,1992/11/23
000503.SZ,国新健康,1992/11/30
000504.SZ,*ST生物,1992/12/8
000505.SZ,京粮控股,1992/12/21
000506.SZ,中润资源,1993/3/12
000507.SZ,珠海港,1993/3/26
000509.SZ,华塑控股,1993/5/7
000510.SZ,新金路,1993/5/7
000513.SZ,丽珠集团,1993/10/28
000514.SZ,渝开发,1993/7/12
000516.SZ,国际医学,1993/8/9
000517.SZ,荣安地产,1993/8/6
000518.SZ,四环生物,1993/9/8
000519.SZ,中兵红箭,1993/10/8
000520.SZ,长航凤凰,1993/10/25
000521.SZ,长虹美菱,1993/10/18
000523.SZ,广州浪奇,1993/11/8
000524.SZ,岭南控股,1993/11/18
000525.SZ,红太阳,1993/10/28
000526.SZ,紫光学大,1993/11/1
000528.SZ,柳工,1993/11/18
000529.SZ,广弘控股,1993/11/18
000530.SZ,冰山冷热,1993/12/8
000531.SZ,穗恒运A,1994/1/6
000532.SZ,华金资本,1994/1/3
000533.SZ,顺钠股份,1994/1/3
000534.SZ,万泽股份,1994/1/10
000536.SZ,华映科技,1993/11/26
000537.SZ,广宇发展,1993/12/10
000538.SZ,云南白药,1993/12/15
000539.SZ,粤电力A,1993/11/26
000540.SZ,中天金融,1994/2/2
000541.SZ,佛山照明,1993/11/23
000543.SZ,皖能电力,1993/12/20
000544.SZ,中原环保,1993/12/8
000545.SZ,金浦钛业,1993/12/15
000546.SZ,金圆股份,1993/12/15
000547.SZ,航天发展,1993/11/30
000548.SZ,湖南投资,1993/12/20
000550.SZ,江铃汽车,1993/12/1
000551.SZ,创元科技,1994/1/6
000552.SZ,靖远煤电,1994/1/6
000553.SZ,安道麦A,1993/12/3
000554.SZ,泰山石油,1993/12/15
000555.SZ,神州信息,1994/4/8
000557.SZ,西部创业,1994/6/17
000558.SZ,莱茵体育,1994/5/9
000559.SZ,万向钱潮,1994/1/10
000560.SZ,我爱我家,1994/2/2
000561.SZ,烽火电子,1994/5/9
000563.SZ,陕国投A,1994/1/10
000564.SZ,供销大集,1994/1/10
000565.SZ,渝三峡A,1994/4/8
000566.SZ,海南海药,1994/5/25
000567.SZ,海德股份,1994/5/25
000568.SZ,泸州老窖,1994/5/9
000570.SZ,苏常柴A,1994/7/1
000571.SZ,*ST大洲,1994/5/25
000572.SZ,*ST海马,1994/8/8
000573.SZ,粤宏远A,1994/8/15
000576.SZ,广东甘化,1994/9/7
000581.SZ,威孚高科,1998/9/24
000582.SZ,北部湾港,1995/11/2
000584.SZ,哈工智能,1995/11/28
000585.SZ,ST东电,1995/12/13
000586.SZ,汇源通信,1995/12/20
